WW_ID,Site,WW_Collection_Date_(YYYY-MM-DD),Potassium_mg.L
BBW-0132,BBW,2021-09-05,13.15
BBW-0133,BBW,2021-09-07,12.98
BBW-0134,BBW,2021-09-12,12.5
BBW-0135,BBW,2021-09-14,13.97
BBW-0136,BBW,2021-09-19,12.55
BBW-0137,BBW,2021-09-21,13.74
BBW-0138,BBW,2021-09-26,13.88
BBW-0139,BBW,2021-09-28,13
BBW-0140,BBW,2021-10-03,11.88
BBW-0141,BBW,2021-10-05,14.51
BBW-0142,BBW,2021-10-12,13.21
BBW-0143,BBW,2021-10-17,13.76
BBW-0144,BBW,2021-10-19,
BBW-0145,BBW,2021-10-24,
BBW-0146,BBW,2021-10-26,
BBW-0147,BBW,2021-10-27,14.69
BBW-0148,BBW,2021-10-31,
BBW-0149,BBW,2021-11-02,
BBW-0150,BBW,2021-11-03,14.27
BBW-0151,BBW,2021-11-07,13.08
BBW-0152,BBW,2021-11-09,14.64
BBW-0153,BBW,2021-11-14,13.41
BBW-0154,BBW,2021-11-16,13.34
BBW-0155,BBW,2021-11-17,13.04
BBW-0156,BBW,2021-11-21,12.53
BBW-0157,BBW,2021-11-23,16.97
BBW-0158,BBW,2021-11-24,14.05
BBW-0159,BBW,2021-11-28,12.42
BBW-0160,BBW,2021-11-30,14.81
BBW-0161,BBW,2021-12-01,14.76
BBW-0162,BBW,2021-12-05,13.42
BBW-0163,BBW,2021-12-07,14.43
BBW-0164,BBW,2021-12-08,15.13
BBW-0165,BBW,2021-12-12,14.19
BBW-0166,BBW,2021-12-14,14.93
BBW-0167,BBW,2021-12-15,15.64
BBW-0168,BBW,2021-12-19,13.21
BBW-0169,BBW,2021-12-26,13.4
BBW-0170,BBW,2021-12-29,13.51
BBW-0171,BBW,2022-01-02,11.75
BBW-0172,BBW,2022-01-04,12.92
BBW-0173,BBW,2022-01-05,
BBW-0174,BBW,2022-01-09,
BBW-0175,BBW,2022-01-11,
BBW-0176,BBW,2022-01-12,
BBW-0177,BBW,2022-01-16,
CRO-0026,CRO,2021-09-05,8.67
CRO-0027,CRO,2021-09-29,10.94
CRO-0028,CRO,2021-10-04,8.57
CRO-0029,CRO,2021-10-06,20.16
CRO-0030,CRO,2021-10-13,15.03
CRO-0031,CRO,2021-10-27,
CRO-0032,CRO,2021-11-01,
CRO-0033,CRO,2021-11-08,
CRO-0034,CRO,2021-11-10,11.05
CRO-0035,CRO,2021-11-15,9.03
CRO-0036,CRO,2021-11-17,6.68
CRO-0037,CRO,2021-11-22,9.75
CRO-0038,CRO,2021-11-24,8.49
CRO-0039,CRO,2021-11-29,13.87
CRO-0040,CRO,2021-12-01,12.18
CRO-0041,CRO,2021-12-13,16.19
CRO-0042,CRO,2021-12-16,16.02
